Time,CFU
0,1
25.93036396,23461.03388
26.9656023,46553.31462
28.00642201,41373.21448
29.52806527,32659.94186
84.30664041,1131.852231
85.34781574,1417.716004
86.23839713,9087.307159
93.5318173,41551.04083
137.7519095,26.04041623
141.7218772,529.317657
176.9089296,112.5498041
195.3956336,1
199.4746522,6.373837368
210.2654867,1
211.6883398,1987.414749
231.1668866,38.61864805
268.6699699,1
272.9177575,1
289.4571262,137.0627103
317.5195274,1
354.687669,1
356.261116,399.4542008
371.4217712,16.59773781
387.2626955,43.2212001
400.9589545,140.9756982
446.7498972,35.49132796
481.6123937,254.6056111
503.3602354,1
580.5500141,37.54673065
